rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Fred,Unknown,125,65,9,8.786,"2004-2005, 2018-2020",Fred,9,30,0,Cruzeiro Esporte Clube,Attack - Centre-Forward,"1,85 m",Brazil,br,https://www.transfermarkt.us/fred/profil/spieler/31005,https://img.a.transfermarkt.technology/portrait/small/31005-1506092346.jpg?lm=1,,03.10.1983,Teófilo Otoni,Retired
2,Giorgian de Arrascaeta,Giorgian Daniel de Arrascaeta Benedetti,186,49,24,12.97,2015-2019,de Arrascaeta,10,23,1,Cruzeiro Esporte Clube,Midfield - Attacking Midfield,"1,74 m",Uruguay,uy,https://www.transfermarkt.us/giorgian-de-arrascaeta/profil/spieler/248410,https://img.a.transfermarkt.technology/portrait/small/248410-1668501457.jpg?lm=1,,01.06.1994,Nuevo Berlín,CR Flamengo
3,Marcelo Moreno,Marcelo Moreno Martins,131,47,7,8.503,"2007-2008, 2014-2014, 2020-2022, 2024-2024",Moreno,9,17,1,Cruzeiro Esporte Clube,Attack - Centre-Forward,"1,83 m",Bolivia,bo,https://www.transfermarkt.us/marcelo-moreno/profil/spieler/54162,https://img.a.transfermarkt.technology/portrait/small/54162-1487064845.jpg?lm=1,,18.06.1987,Santa Cruz de la Sierra,Retired
4,Wellington Paulista,Unknown,116,46,16,7.944,"2009-2011, 2011-2013, 2013-2013, 2013-2014",Wellington Paulista,Unknown,27,1,Cruzeiro Esporte Clube,Attack - Centre-Forward,"1,80 m",Brazil,br,https://www.transfermarkt.us/wellington-paulista/profil/spieler/51716,https://img.a.transfermarkt.technology/portrait/small/51716-1543929199.jpg?lm=1,,22.04.1983,São Paulo,Retired
5,Thiago Neves,Thiago Neves Augusto,151,41,19,11.374,2017-2020,Neves,-,30,0,Cruzeiro Esporte Clube,Midfield - Attacking Midfield,,Brazil,br,https://www.transfermarkt.us/thiago-neves/profil/spieler/53262,https://img.a.transfermarkt.technology/portrait/small/53262-1600173894.jpg?lm=1,,27.02.1985,Curitiba,Retired
6,Willian Bigode,Unknown,176,38,24,11.582,"2013-2014, 2014-2017",Willian Bigode,Unknown,28,0,Cruzeiro Esporte Clube,Attack - Second Striker,"1,71 m",Brazil,br,https://www.transfermarkt.us/willian-bigode/profil/spieler/55338,https://img.a.transfermarkt.technology/portrait/small/55338-1706144240.jpg?lm=1,,19.11.1986,Três Fronteiras,América Futebol Clube (MG)
7,Ricardo Goulart,Ricardo Goulart Pereira,99,34,13,7.092,2013-2015,Goulart,20,8,1,Cruzeiro Esporte Clube,Attack - Second Striker,"1,81 m",Brazil,br,https://www.transfermarkt.us/ricardo-goulart/profil/spieler/106076,https://img.a.transfermarkt.technology/portrait/small/106076-1488976090.jpg?lm=1,,05.06.1991,São Paulo,Retired
8,Thiago Ribeiro,Unknown,113,33,23,8.291,2008-2011,Thiago Ribeiro,Unknown,12,1,Cruzeiro Esporte Clube,Attack - Left Winger,"1,83 m",Brazil,br,https://www.transfermarkt.us/thiago-ribeiro/profil/spieler/22948,https://img.a.transfermarkt.technology/portrait/small/22948-1479730925.jpg?lm=1,,24.02.1986,Pontes Gestal,Rio Branco EC (SP)
9,Rafael Sóbis,Unknown,174,33,11,10.844,"2016-2019, 2020-2022",Rafael Sóbis,-,34,1,Cruzeiro Esporte Clube,Attack - Centre-Forward,"1,75 m",Brazil,br,https://www.transfermarkt.us/rafael-sobis/profil/spieler/27376,https://img.a.transfermarkt.technology/portrait/small/27376-1494843480.jpg?lm=1,,17.06.1985,Erechim,Retired
10,Wagner,Unknown,175,29,23,13.029,"2004-2007, 2007-2009",Wagner,-,29,2,Cruzeiro Esporte Clube,Midfield - Attacking Midfield,"1,75 m",Brazil,br,https://www.transfermarkt.us/wagner/profil/spieler/45720,https://img.a.transfermarkt.technology/portrait/small/45720-1601471561.jpg?lm=1,,29.01.1985,Sete Lagoas,Retired
11,Walter Montillo,Walter Damián Montillo,100,26,26,8.687,2010-2013,Montillo,-,13,0,Cruzeiro Esporte Clube,Midfield - Attacking Midfield,"1,70 m",Argentina,ar,https://www.transfermarkt.us/walter-montillo/profil/spieler/19984,https://img.a.transfermarkt.technology/portrait/small/19984-1484240057.jpg?lm=1,,14.04.1984,Lanús,Retired
